event_num,pdg,E,px,py,pz,polx,poly,polz
2,16,10,0,0,10,0,0,0
2,1000080160,14.8951,0,0,0,0,0,0
2,15,9.04549,-0.663836,-0.398303,8.8354,0.0748469,0.0449083,-0.996183
5,16,10,0,0,10,0,0,0
5,1000080160,14.8951,0,0,0,0,0,0
5,15,9.30853,0.534583,0.972609,9.06971,0,0,0
6,16,10,0,0,10,0,0,0
6,1000080160,14.8951,0,0,0,0,0,0
6,15,3.29097,-0.334734,0.268177,2.73665,0.12084,-0.0968126,-0.98794
7,16,10,0,0,10,0,0,0
7,1000080160,14.8951,0,0,0,0,0,0
7,15,9.18336,-0.330177,0.56851,8.98581,0.0366463,-0.0630989,-0.997334
8,16,10,0,0,10,0,0,0
8,1000080160,14.8951,0,0,0,0,0,0
8,15,7.03778,0.574205,0.410912,6.77308,-0.0843206,-0.0603414,-0.99461
9,16,10,0,0,10,0,0,0
9,1000080160,14.8951,0,0,0,0,0,0
9,15,6.20775,0.513936,-0.201124,5.92236,-0.0864045,0.0338136,-0.995686
11,16,10,0,0,10,0,0,0
11,1000080160,14.8951,0,0,0,0,0,0
11,15,7.79854,0.719823,0.205588,7.55643,-0.0947956,-0.0270745,-0.995129
13,16,10,0,0,10,0,0,0
13,1000080160,14.8951,0,0,0,0,0,0
13,15,6.40843,-0.210457,-0.282742,6.14707,0.0341808,0.0459208,-0.99836
15,16,10,0,0,10,0,0,0
15,1000080160,14.8951,0,0,0,0,0,0
15,15,9.41368,-0.739271,0.385219,9.20681,0,0,0
20,16,10,0,0,10,0,0,0
20,1000080160,14.8951,0,0,0,0,0,0
20,15,7.44124,0.744996,-0.0266948,7.18743,-0.1031,0.00369427,-0.994664
24,16,10,0,0,10,0,0,0
24,1000080160,14.8951,0,0,0,0,0,0
24,15,5.78573,1.43081,0.147918,5.31491,-0.259858,-0.0268642,-0.965273
25,16,10,0,0,10,0,0,0
25,1000080160,14.8951,0,0,0,0,0,0
25,15,7.96549,-0.508803,-0.434988,7.73587,0.065527,0.0560206,-0.996277
26,16,10,0,0,10,0,0,0
26,1000080160,14.8951,0,0,0,0,0,0
26,15,6.81787,-0.345748,0.107874,6.57229,0.0525272,-0.0163886,-0.998485
27,16,10,0,0,10,0,0,0
27,1000080160,14.8951,0,0,0,0,0,0
27,15,8.10165,-0.542675,-0.811922,7.84383,0.0686549,0.102718,-0.992338
30,16,10,0,0,10,0,0,0
30,1000080160,14.8951,0,0,0,0,0,0
30,15,9.84657,-0.0292096,-0.349136,9.67858,0,0,0
32,16,10,0,0,10,0,0,0
32,1000080160,14.8951,0,0,0,0,0,0
32,15,6.92524,0.727839,0.475729,6.63669,-0.10874,-0.0710742,-0.991526
33,16,10,0,0,10,0,0,0
33,1000080160,14.8951,0,0,0,0,0,0
33,15,6.7959,0.112439,0.158012,6.55663,-0.0171413,-0.0240891,-0.999563
36,16,10,0,0,10,0,0,0
36,1000080160,14.8951,0,0,0,0,0,0
36,15,9.87311,0.0779959,0.422132,9.70241,0,0,0
38,16,10,0,0,10,0,0,0
38,1000080160,14.8951,0,0,0,0,0,0
38,15,8.33154,-0.227219,-0.0369465,8.13661,0.0279144,0.00453896,-0.9996
40,16,10,0,0,10,0,0,0
40,1000080160,14.8951,0,0,0,0,0,0
40,15,8.6487,0.76667,0.104027,8.42877,-0.0905779,-0.0122902,-0.995814
42,16,10,0,0,10,0,0,0
42,1000080160,14.8951,0,0,0,0,0,0
42,15,7.4182,-0.659073,0.0326599,7.17196,0.0915094,-0.00453468,-0.995794
45,16,10,0,0,10,0,0,0
45,1000080160,14.8951,0,0,0,0,0,0
45,15,6.07106,0.442598,0.650484,5.75165,-0.0762415,-0.112052,-0.990773
48,16,10,0,0,10,0,0,0
48,1000080160,14.8951,0,0,0,0,0,0
48,15,9.75398,0.137577,0.0651657,9.58956,0,0,0
49,16,10,0,0,10,0,0,0
49,1000080160,14.8951,0,0,0,0,0,0
49,15,9.94436,-0.189786,-0.149538,9.78134,0,0,0
50,16,10,0,0,10,0,0,0
50,1000080160,14.8951,0,0,0,0,0,0
50,15,8.62159,0.631851,-0.40418,8.40309,-0.0748949,0.0479085,-0.99604
58,16,10,0,0,10,0,0,0
58,1000080160,14.8951,0,0,0,0,0,0
58,15,8.13566,0.355976,0.582468,7.90985,-0.0448375,-0.0733655,-0.996297
59,16,10,0,0,10,0,0,0
59,1000080160,14.8951,0,0,0,0,0,0
59,15,4.65705,0.0303585,0.912218,4.20688,-0.00705232,-0.21191,-0.977264
60,16,10,0,0,10,0,0,0
60,1000080160,14.8951,0,0,0,0,0,0
60,15,9.11193,-0.0678178,0.69144,8.90996,0.00758842,-0.0773682,-0.996974
62,16,10,0,0,10,0,0,0
62,1000080160,14.8951,0,0,0,0,0,0
62,15,7.64606,0.14969,0.785844,7.39358,-0.0201285,-0.105671,-0.994197
63,16,10,0,0,10,0,0,0
63,1000080160,14.8951,0,0,0,0,0,0
63,15,7.51646,-0.529339,-1.06982,7.20522,0.0724783,0.146481,-0.986555
64,16,10,0,0,10,0,0,0
64,1000080160,14.8951,0,0,0,0,0,0
64,15,9.44932,-0.642045,-0.426548,9.24869,0,0,0
66,16,10,0,0,10,0,0,0
66,1000080160,14.8951,0,0,0,0,0,0
66,15,6.65642,-0.0282544,-0.910335,6.34989,0.00440451,0.14191,-0.98987
68,16,10,0,0,10,0,0,0
68,1000080160,14.8951,0,0,0,0,0,0
68,15,9.58101,0.390339,-0.218092,9.40418,0,0,0
69,16,10,0,0,10,0,0,0
69,1000080160,14.8951,0,0,0,0,0,0
69,15,9.27759,0.718387,0.470546,9.06526,-0.078893,-0.0516751,-0.995543
73,16,10,0,0,10,0,0,0
73,1000080160,14.8951,0,0,0,0,0,0
73,15,6.68402,0.17638,1.0815,6.34966,-0.0273732,-0.167843,-0.985434
74,16,10,0,0,10,0,0,0
74,1000080160,14.8951,0,0,0,0,0,0
74,15,5.45693,0.643434,-1.20585,4.97522,-0.124708,0.233713,-0.964275
75,16,10,0,0,10,0,0,0
75,1000080160,14.8951,0,0,0,0,0,0
75,15,8.36053,0.37082,0.333429,8.1543,-0.0453906,-0.0408137,-0.998135
77,16,10,0,0,10,0,0,0
77,1000080160,14.8951,0,0,0,0,0,0
77,15,8.88961,0.612701,-0.385877,8.68007,-0.0703428,0.0443016,-0.996539
82,16,10,0,0,10,0,0,0
82,1000080160,14.8951,0,0,0,0,0,0
82,15,9.73046,0.19682,0.598666,9.54607,0,0,0
84,16,10,0,0,10,0,0,0
84,1000080160,14.8951,0,0,0,0,0,0
84,15,9.765,-0.132612,0.0922313,9.60061,0,0,0
85,16,10,0,0,10,0,0,0
85,1000080160,14.8951,0,0,0,0,0,0
85,15,6.31046,-0.752103,0.4996,5.98744,0.124209,-0.0825085,-0.98882
88,16,10,0,0,10,0,0,0
88,1000080160,14.8951,0,0,0,0,0,0
88,15,6.1315,-0.687393,0.0939832,5.82724,0.117135,-0.0160151,-0.992987
93,16,10,0,0,10,0,0,0
93,1000080160,14.8951,0,0,0,0,0,0
93,15,6.93315,-0.866862,0.0620712,6.645,0.129352,-0.00926215,-0.991556
96,16,10,0,0,10,0,0,0
96,1000080160,14.8951,0,0,0,0,0,0
96,15,7.59418,0.736623,0.72838,7.31035,-0.0997677,-0.0986512,-0.990108
98,16,10,0,0,10,0,0,0
98,1000080160,14.8951,0,0,0,0,0,0
98,15,8.98564,-0.509224,-0.481739,8.78027,0.0578125,0.054692,-0.996828
100,16,10,0,0,10,0,0,0
100,1000080160,14.8951,0,0,0,0,0,0
100,15,9.49851,-0.437825,-0.6014,9.30114,0,0,0
102,16,10,0,0,10,0,0,0
102,1000080160,14.8951,0,0,0,0,0,0
102,15,9.30949,-0.764193,0.495924,9.09283,0,0,0
103,16,10,0,0,10,0,0,0
103,1000080160,14.8951,0,0,0,0,0,0
103,15,6.61066,0.298096,-0.4048,6.34751,-0.0468161,0.063574,-0.996878
106,16,10,0,0,10,0,0,0
106,1000080160,14.8951,0,0,0,0,0,0
106,15,9.92919,0.0159172,0.231634,9.76615,0,0,0
108,16,10,0,0,10,0,0,0
108,1000080160,14.8951,0,0,0,0,0,0
108,15,8.62408,0.0279779,-0.861624,8.3949,-0.00331529,0.1021,-0.994769
109,16,10,0,0,10,0,0,0
109,1000080160,14.8951,0,0,0,0,0,0
109,15,7.64406,-0.831293,-0.498862,7.3712,0.111813,0.0670993,-0.991461
112,16,10,0,0,10,0,0,0
112,1000080160,14.8951,0,0,0,0,0,0
112,15,9.82682,0.19369,-0.575227,9.64576,0,0,0
114,16,10,0,0,10,0,0,0
114,1000080160,14.8951,0,0,0,0,0,0
114,15,8.62205,-0.274994,-0.235357,8.4292,0.0325939,0.027896,-0.999079
115,16,10,0,0,10,0,0,0
115,1000080160,14.8951,0,0,0,0,0,0
115,15,8.91879,0.977753,0.0676079,8.68487,-0.111871,-0.00773546,-0.993693
116,16,10,0,0,10,0,0,0
116,1000080160,14.8951,0,0,0,0,0,0
116,15,9.90626,-0.297065,0.289635,9.73677,0,0,0
120,16,10,0,0,10,0,0,0
120,1000080160,14.8951,0,0,0,0,0,0
120,15,4.81791,0.954803,0.462818,4.35077,-0.213207,-0.103347,-0.971526
121,16,10,0,0,10,0,0,0
121,1000080160,14.8951,0,0,0,0,0,0
121,15,8.36918,-0.552853,0.871647,8.11298,0.0675993,-0.106579,-0.992004
123,16,10,0,0,10,0,0,0
123,1000080160,14.8951,0,0,0,0,0,0
123,15,8.43221,-0.388918,0.325824,8.22724,0.0471824,-0.0395279,-0.998104
125,16,10,0,0,10,0,0,0
125,1000080160,14.8951,0,0,0,0,0,0
125,15,8.86698,-0.888571,0.0723353,8.64125,0.102286,-0.00832672,-0.99472
126,16,10,0,0,10,0,0,0
126,1000080160,14.8951,0,0,0,0,0,0
126,15,9.27939,0.488858,0.203305,9.09227,0,0,0
128,16,10,0,0,10,0,0,0
128,1000080160,14.8951,0,0,0,0,0,0
128,15,7.95361,1.12959,-0.366885,7.66108,-0.145705,0.0473242,-0.988196
129,16,10,0,0,10,0,0,0
129,1000080160,14.8951,0,0,0,0,0,0
129,15,9.19706,0.802106,-0.190948,8.98603,-0.0888881,0.0211606,-0.995817
130,16,10,0,0,10,0,0,0
130,1000080160,14.8951,0,0,0,0,0,0
130,15,9.74107,-0.59395,-0.0927514,9.55876,0,0,0
139,16,10,0,0,10,0,0,0
139,1000080160,14.8951,0,0,0,0,0,0
139,15,9.71238,0.551783,0.448796,9.52193,0,0,0
140,16,10,0,0,10,0,0,0
140,1000080160,14.8951,0,0,0,0,0,0
140,15,8.41736,-0.0399976,-0.954716,8.172,0.00486134,0.116037,-0.993233
146,16,10,0,0,10,0,0,0
146,1000080160,14.8951,0,0,0,0,0,0
146,15,8.42416,-0.418427,0.0102659,8.22399,0.050813,-0.00124667,-0.998707
150,16,10,0,0,10,0,0,0
150,1000080160,14.8951,0,0,0,0,0,0
150,15,8.86626,0.511375,0.515165,8.65601,-0.0588709,-0.0593072,-0.996502
152,16,10,0,0,10,0,0,0
152,1000080160,14.8951,0,0,0,0,0,0
152,15,8.88187,-0.657397,-0.0797059,8.67709,0.0755427,0.00915916,-0.9971
155,16,10,0,0,10,0,0,0
155,1000080160,14.8951,0,0,0,0,0,0
155,15,9.68076,0.300074,0.403791,9.50299,0,0,0
158,16,10,0,0,10,0,0,0
158,1000080160,14.8951,0,0,0,0,0,0
158,15,7.81174,0.245789,0.0202291,7.60298,-0.0323111,-0.00265928,-0.999474
160,16,10,0,0,10,0,0,0
160,1000080160,14.8951,0,0,0,0,0,0
160,15,2.8638,-0.399897,-0.485846,2.15595,0.178056,0.216325,-0.959948
162,16,10,0,0,10,0,0,0
162,1000080160,14.8951,0,0,0,0,0,0
162,15,4.04025,0.227307,0.0879821,3.62036,-0.062644,-0.0242472,-0.997741
164,16,10,0,0,10,0,0,0
164,1000080160,14.8951,0,0,0,0,0,0
164,15,5.83345,-0.608049,-0.929677,5.44407,0.109435,0.167321,-0.97981
168,16,10,0,0,10,0,0,0
168,1000080160,14.8951,0,0,0,0,0,0
168,15,8.6507,-0.633895,0.448608,8.43056,0.0748732,-0.0529878,-0.995784
170,16,10,0,0,10,0,0,0
170,1000080160,14.8951,0,0,0,0,0,0
170,15,8.52656,0.144366,-1.10721,8.26428,-0.0173114,0.132769,-0.990996
171,16,10,0,0,10,0,0,0
171,1000080160,14.8951,0,0,0,0,0,0
171,15,7.30799,-0.582604,0.627096,7.03682,0.0821878,-0.0884642,-0.992683
172,16,10,0,0,10,0,0,0
172,1000080160,14.8951,0,0,0,0,0,0
172,15,9.24829,-0.918658,0.15916,9.02797,0,0,0
173,16,10,0,0,10,0,0,0
173,1000080160,14.8951,0,0,0,0,0,0
173,15,7.78158,0.822864,0.0393874,7.53107,-0.108615,-0.00519897,-0.99407
177,16,10,0,0,10,0,0,0
177,1000080160,14.8951,0,0,0,0,0,0
177,15,6.44428,-0.492663,-1.33487,6.02884,0.0795327,0.215493,-0.973261
178,16,10,0,0,10,0,0,0
178,1000080160,14.8951,0,0,0,0,0,0
178,15,9.76457,-0.184599,0.494428,9.58703,0,0,0
180,16,10,0,0,10,0,0,0
180,1000080160,14.8951,0,0,0,0,0,0
180,15,9.87822,0.386472,-0.457408,9.69863,0,0,0
181,16,10,0,0,10,0,0,0
181,1000080160,14.8951,0,0,0,0,0,0
181,15,8.69879,1.16619,-0.121508,8.43427,-0.136951,0.0142692,-0.990475
182,16,10,0,0,10,0,0,0
182,1000080160,14.8951,0,0,0,0,0,0
182,15,3.45481,-0.155644,-0.480788,2.91944,0.0525318,0.162272,-0.985347
183,16,10,0,0,10,0,0,0
183,1000080160,14.8951,0,0,0,0,0,0
183,15,8.07214,0.747097,0.535521,7.82031,-0.0948797,-0.0680101,-0.993163
184,16,10,0,0,10,0,0,0
184,1000080160,14.8951,0,0,0,0,0,0
184,15,9.19431,-0.396387,0.672204,8.98716,0.0439406,-0.0745156,-0.996251
188,16,10,0,0,10,0,0,0
188,1000080160,14.8951,0,0,0,0,0,0
188,15,8.61197,0.659135,0.80173,8.36251,-0.0782202,-0.095142,-0.992386
191,16,10,0,0,10,0,0,0
191,1000080160,14.8951,0,0,0,0,0,0
191,15,9.487,0.636537,0.633094,9.27577,0,0,0
196,16,10,0,0,10,0,0,0
196,1000080160,14.8951,0,0,0,0,0,0
196,15,8.20237,-0.348057,0.821906,7.9577,0.0434658,-0.102641,-0.993768
197,16,10,0,0,10,0,0,0
197,1000080160,14.8951,0,0,0,0,0,0
197,15,7.34949,-0.13285,0.828269,7.08196,0.0186287,-0.116143,-0.993058
198,16,10,0,0,10,0,0,0
198,1000080160,14.8951,0,0,0,0,0,0
198,15,8.11103,-0.640764,-0.708798,7.85612,0.0809657,0.0895624,-0.992685
199,16,10,0,0,10,0,0,0
199,1000080160,14.8951,0,0,0,0,0,0
199,15,9.29277,-0.629216,-0.0351835,9.09951,0.068983,0.00385729,-0.99761
202,16,10,0,0,10,0,0,0
202,1000080160,14.8951,0,0,0,0,0,0
202,15,9.96119,0.285322,-0.0334774,9.79722,0,0,0
204,16,10,0,0,10,0,0,0
204,1000080160,14.8951,0,0,0,0,0,0
204,15,9.9768,0.175966,0.0714101,9.81546,0,0,0
205,16,10,0,0,10,0,0,0
205,1000080160,14.8951,0,0,0,0,0,0
205,15,9.85811,0.0643537,-0.41131,9.68772,0,0,0
209,16,10,0,0,10,0,0,0
209,1000080160,14.8951,0,0,0,0,0,0
209,15,9.86311,-0.371823,-0.142039,9.69357,0,0,0
210,16,10,0,0,10,0,0,0
210,1000080160,14.8951,0,0,0,0,0,0
210,15,8.48852,0.658805,-0.248266,8.27056,-0.0793696,0.0299099,-0.996396
215,16,10,0,0,10,0,0,0
215,1000080160,14.8951,0,0,0,0,0,0
215,15,4.30184,-0.0435344,0.240096,3.91012,0.0111122,-0.0612846,-0.998058
217,16,10,0,0,10,0,0,0
217,1000080160,14.8951,0,0,0,0,0,0
217,15,9.80749,-0.611784,0.0198398,9.62574,0,0,0
218,16,10,0,0,10,0,0,0
218,1000080160,14.8951,0,0,0,0,0,0
218,15,4.8318,0.546146,0.547466,4.42618,-0.121549,-0.121843,-0.985079
219,16,10,0,0,10,0,0,0
219,1000080160,14.8951,0,0,0,0,0,0
219,15,8.57883,0.169658,0.595542,8.36992,-0.0202147,-0.0709587,-0.997274
223,16,10,0,0,10,0,0,0
223,1000080160,14.8951,0,0,0,0,0,0
223,15,5.36234,-0.0203149,-0.589457,5.0249,0.00401528,0.116507,-0.993182
225,16,10,0,0,10,0,0,0
225,1000080160,14.8951,0,0,0,0,0,0
225,15,5.64076,0.409153,-0.291751,5.32996,-0.0764259,0.0544964,-0.995585
226,16,10,0,0,10,0,0,0
226,1000080160,14.8951,0,0,0,0,0,0
226,15,9.52877,-0.536667,0.427564,9.33646,0,0,0
233,16,10,0,0,10,0,0,0
233,1000080160,14.8951,0,0,0,0,0,0
233,15,8.55356,0.157798,-0.362247,8.35763,-0.0188596,0.0432949,-0.998884
235,16,10,0,0,10,0,0,0
235,1000080160,14.8951,0,0,0,0,0,0
235,15,6.91475,-0.624113,-0.0822417,6.65284,0.0933944,0.0123069,-0.995553
237,16,10,0,0,10,0,0,0
237,1000080160,14.8951,0,0,0,0,0,0
237,15,8.40234,-0.214931,0.637164,8.18474,0.0261718,-0.0775864,-0.996642
241,16,10,0,0,10,0,0,0
241,1000080160,14.8951,0,0,0,0,0,0
241,15,9.95066,0.166471,-0.424449,9.78011,0,0,0
243,16,10,0,0,10,0,0,0
243,1000080160,14.8951,0,0,0,0,0,0
243,15,8.02582,0.442782,0.680713,7.78441,-0.0565737,-0.0869737,-0.994603
246,16,10,0,0,10,0,0,0
246,1000080160,14.8951,0,0,0,0,0,0
246,15,6.8175,0.540574,0.134912,6.55825,-0.0821308,-0.0204974,-0.996411
247,16,10,0,0,10,0,0,0
247,1000080160,14.8951,0,0,0,0,0,0
247,15,9.35396,0.682875,-0.100981,9.15766,0,0,0
249,16,10,0,0,10,0,0,0
249,1000080160,14.8951,0,0,0,0,0,0
249,15,8.77929,0.547422,-0.0359589,8.58008,-0.0636715,0.00418244,-0.997962
251,16,10,0,0,10,0,0,0
251,1000080160,14.8951,0,0,0,0,0,0
251,15,9.71855,0.517341,0.033138,9.54066,0,0,0
253,16,10,0,0,10,0,0,0
253,1000080160,14.8951,0,0,0,0,0,0
253,15,8.63573,0.00114676,-0.541855,8.43357,-0.000135696,0.0641176,-0.997942
261,16,10,0,0,10,0,0,0
261,1000080160,14.8951,0,0,0,0,0,0
261,15,8.98569,0.00609421,0.0183778,8.80824,-0.000691874,-0.00208643,-0.999998
265,16,10,0,0,10,0,0,0
265,1000080160,14.8951,0,0,0,0,0,0
265,15,6.58233,-0.0511005,0.78387,6.2891,0.00806259,-0.123678,-0.99229
269,16,10,0,0,10,0,0,0
269,1000080160,14.8951,0,0,0,0,0,0
269,15,7.58806,-0.950992,-0.162604,7.31373,0.128912,0.0220417,-0.991411
273,16,10,0,0,10,0,0,0
273,1000080160,14.8951,0,0,0,0,0,0
273,15,4.56399,0.477294,0.389064,4.15856,-0.113536,-0.0925484,-0.989214
275,16,10,0,0,10,0,0,0
275,1000080160,14.8951,0,0,0,0,0,0
275,15,9.02555,0.172897,-0.526977,8.83152,-0.0195388,0.0595528,-0.998034
276,16,10,0,0,10,0,0,0
276,1000080160,14.8951,0,0,0,0,0,0
276,15,8.50513,-0.342958,0.467866,8.2972,0.0412335,-0.0562511,-0.997565
278,16,10,0,0,10,0,0,0
278,1000080160,14.8951,0,0,0,0,0,0
278,15,5.62808,-0.177495,-0.0433372,5.3371,0.0332372,0.00811522,-0.999415
281,16,10,0,0,10,0,0,0
281,1000080160,14.8951,0,0,0,0,0,0
281,15,8.30683,0.186998,-0.734846,8.07906,-0.0230447,0.0905588,-0.995624
282,16,10,0,0,10,0,0,0
282,1000080160,14.8951,0,0,0,0,0,0
282,15,4.84407,-0.000806042,-0.591697,4.4674,0.000178865,0.131301,-0.991343
283,16,10,0,0,10,0,0,0
283,1000080160,14.8951,0,0,0,0,0,0
283,15,8.89022,0.435834,0.429087,8.68934,-0.0500335,-0.049259,-0.997532
284,16,10,0,0,10,0,0,0
284,1000080160,14.8951,0,0,0,0,0,0
284,15,5.25594,-0.317697,0.848148,4.86286,0.0642268,-0.171465,-0.983094
285,16,10,0,0,10,0,0,0
285,1000080160,14.8951,0,0,0,0,0,0
285,15,9.11911,-0.602477,0.383133,8.91579,0.0673586,-0.0428353,-0.996809
287,16,10,0,0,10,0,0,0
287,1000080160,14.8951,0,0,0,0,0,0
287,15,7.30448,0.284215,1.14873,6.98554,-0.0401146,-0.162134,-0.985953
289,16,10,0,0,10,0,0,0
289,1000080160,14.8951,0,0,0,0,0,0
289,15,6.32382,-0.092683,-0.960319,5.99189,0.0152714,0.158232,-0.987284
296,16,10,0,0,10,0,0,0
296,1000080160,14.8951,0,0,0,0,0,0
296,15,5.13308,-0.780372,-0.0201595,4.75204,0.162047,0.00418618,-0.986774
297,16,10,0,0,10,0,0,0
297,1000080160,14.8951,0,0,0,0,0,0
297,15,8.00103,-0.265736,0.374187,7.78772,0.0340633,-0.0479651,-0.998268
298,16,10,0,0,10,0,0,0
298,1000080160,14.8951,0,0,0,0,0,0
298,15,7.04902,0.42199,0.281638,6.8025,-0.0618627,-0.0412875,-0.99723
300,16,10,0,0,10,0,0,0
300,1000080160,14.8951,0,0,0,0,0,0
300,15,8.84597,-0.729039,0.18891,8.63289,0.0841295,-0.0217998,-0.996216
301,16,10,0,0,10,0,0,0
301,1000080160,14.8951,0,0,0,0,0,0
301,15,9.14212,0.590682,0.241345,8.94505,-0.0658672,-0.0269124,-0.997465
302,16,10,0,0,10,0,0,0
302,1000080160,14.8951,0,0,0,0,0,0
302,15,4.75293,0.487469,0.702967,4.3245,-0.11058,-0.159464,-0.980991
304,16,10,0,0,10,0,0,0
304,1000080160,14.8951,0,0,0,0,0,0
304,15,7.0488,-0.330376,0.573402,6.78899,0.0484339,-0.0840622,-0.995283
307,16,10,0,0,10,0,0,0
307,1000080160,14.8951,0,0,0,0,0,0
307,15,3.19382,-0.127755,-0.147575,2.64673,0.0481381,0.0556066,-0.997292
310,16,10,0,0,10,0,0,0
310,1000080160,14.8951,0,0,0,0,0,0
310,15,3.21288,0.682285,0.0234736,2.5883,-0.254886,-0.00876921,-0.966931
311,16,10,0,0,10,0,0,0
311,1000080160,14.8951,0,0,0,0,0,0
311,15,8.65054,0.730291,0.713749,8.40428,-0.0862607,-0.0843069,-0.992699
314,16,10,0,0,10,0,0,0
314,1000080160,14.8951,0,0,0,0,0,0
314,15,9.28029,0.332446,0.127928,9.10163,-0.0364981,-0.0140447,-0.999235
316,16,10,0,0,10,0,0,0
316,1000080160,14.8951,0,0,0,0,0,0
316,15,7.6434,0.835126,-0.231099,7.38332,-0.112339,0.0310868,-0.993184
318,16,10,0,0,10,0,0,0
318,1000080160,14.8951,0,0,0,0,0,0
318,15,8.38514,-0.116249,0.316946,8.18776,0.0141859,-0.0386769,-0.999151
320,16,10,0,0,10,0,0,0
320,1000080160,14.8951,0,0,0,0,0,0
320,15,9.58295,-0.00753195,0.142663,9.4157,0.000799843,-0.0151498,-0.999885
321,16,10,0,0,10,0,0,0
321,1000080160,14.8951,0,0,0,0,0,0
321,15,8.12359,-0.04168,-0.084546,7.92632,0.00525805,0.0106657,-0.999929
323,16,10,0,0,10,0,0,0
323,1000080160,14.8951,0,0,0,0,0,0
323,15,9.59271,-0.107075,0.764294,9.39507,0,0,0
324,16,10,0,0,10,0,0,0
324,1000080160,14.8951,0,0,0,0,0,0
324,15,9.92995,-0.388677,-0.0576884,9.76178,0,0,0
326,16,10,0,0,10,0,0,0
326,1000080160,14.8951,0,0,0,0,0,0
326,15,8.91834,-0.199987,-0.907206,8.69003,0.0228831,0.103805,-0.994334
327,16,10,0,0,10,0,0,0
327,1000080160,14.8951,0,0,0,0,0,0
327,15,9.50271,-0.433205,0.448352,9.31427,0.046406,-0.0480285,-0.997767
330,16,10,0,0,10,0,0,0
330,1000080160,14.8951,0,0,0,0,0,0
330,15,6.02308,0.76611,0.0722187,5.70334,-0.13312,-0.0125488,-0.99102
332,16,10,0,0,10,0,0,0
332,1000080160,14.8951,0,0,0,0,0,0
332,15,7.87647,0.476034,-0.329819,7.65155,-0.0620367,0.042982,-0.997148
334,16,10,0,0,10,0,0,0
334,1000080160,14.8951,0,0,0,0,0,0
334,15,9.43471,0.647199,-0.285659,9.23884,0,0,0
335,16,10,0,0,10,0,0,0
335,1000080160,14.8951,0,0,0,0,0,0
335,15,8.88672,-0.623483,-0.708319,8.65599,0.0716049,0.081348,-0.99411
338,16,10,0,0,10,0,0,0
338,1000080160,14.8951,0,0,0,0,0,0
338,15,5.04128,-0.80057,-0.128997,4.64754,0.169693,0.0273429,-0.985118
341,16,10,0,0,10,0,0,0
341,1000080160,14.8951,0,0,0,0,0,0
